[01:21:38] ============================================================
[01:21:38] IMPACT SCANNER — Building impact tables
[01:21:38]   WT3:      D:\ygg\yggdrasil-engine\data\wt3.db (81.9 GB)
[01:21:38]   Spectral: spectral_births.json
[01:21:38]   Output:   D:\ygg\yggdrasil-engine\data\impact.db
[01:21:38] ============================================================
[01:21:38] Loading spectral positions from spectral_births.json...
[01:21:38]   Loaded 65,026 nodes (65,026 concepts, 1,316 glyphs)
[01:21:39] Total papers in WT3: 833,030 | Already done: 0 | Remaining: 833,030 | Cursor at rowid 0
[01:29:36]   Batch 130: 655,000/833,030 (78.6%) | 1371 papers/s | ETA 2.2min
[01:29:42]   Batch 131: 660,000/833,030 (79.2%) | 1366 papers/s | ETA 2.1min
[01:29:48]   Batch 132: 665,000/833,030 (79.8%) | 1360 papers/s | ETA 2.1min
[01:29:53]   Batch 133: 670,000/833,030 (80.4%) | 1355 papers/s | ETA 2.0min
[01:29:58]   Batch 134: 675,000/833,030 (81.0%) | 1351 papers/s | ETA 1.9min
[01:30:04]   Batch 135: 680,000/833,030 (81.6%) | 1347 papers/s | ETA 1.9min
[01:30:09]   Batch 136: 685,000/833,030 (82.2%) | 1343 papers/s | ETA 1.8min
[01:30:15]   Batch 137: 690,000/833,030 (82.8%) | 1338 papers/s | ETA 1.8min
[01:30:20]   Batch 138: 695,000/833,030 (83.4%) | 1334 papers/s | ETA 1.7min
[01:30:25]   Batch 139: 700,000/833,030 (84.0%) | 1331 papers/s | ETA 1.7min
[01:30:30]   Batch 140: 705,000/833,030 (84.6%) | 1326 papers/s | ETA 1.6min
[01:30:36]   Batch 141: 710,000/833,030 (85.2%) | 1323 papers/s | ETA 1.5min
[01:30:41]   Batch 142: 715,000/833,030 (85.8%) | 1318 papers/s | ETA 1.5min
[01:30:46]   Batch 143: 720,000/833,030 (86.4%) | 1315 papers/s | ETA 1.4min
[01:30:52]   Batch 144: 725,000/833,030 (87.0%) | 1310 papers/s | ETA 1.4min
[01:30:58]   Batch 145: 730,000/833,030 (87.6%) | 1307 papers/s | ETA 1.3min
[01:31:03]   Batch 146: 735,000/833,030 (88.2%) | 1303 papers/s | ETA 1.3min
[01:31:08]   Batch 147: 740,000/833,030 (88.8%) | 1300 papers/s | ETA 1.2min
[01:31:13]   Batch 148: 745,000/833,030 (89.4%) | 1296 papers/s | ETA 1.1min
[01:31:18]   Batch 149: 750,000/833,030 (90.0%) | 1294 papers/s | ETA 1.1min
[01:31:23]   Batch 150: 755,000/833,030 (90.6%) | 1291 papers/s | ETA 1.0min
[01:31:29]   Batch 151: 760,000/833,030 (91.2%) | 1289 papers/s | ETA 0.9min
[01:31:34]   Batch 152: 765,000/833,030 (91.8%) | 1286 papers/s | ETA 0.9min
[01:31:39]   Batch 153: 770,000/833,030 (92.4%) | 1283 papers/s | ETA 0.8min
[01:31:44]   Batch 154: 775,000/833,030 (93.0%) | 1280 papers/s | ETA 0.8min
[01:31:49]   Batch 155: 780,000/833,030 (93.6%) | 1278 papers/s | ETA 0.7min
